title,task_id,owner,Status,Start Date,ETA,description,last_updated
Prepare complete demo aligned to lifeblood email,,Sridhar / Sanjay,in process,,,Ensure all required components are covered,
Develop demo scenario (end-to-end flow),,Raj / Sanjay,in process,,,Simple app flow for migration demo,
Create reusable demo script/video(python SDK /Terraform/ShellScript),,Team,in process,,,Reusable execution,
Ensure VPC landing zone demo readiness,,Santhosh,in process,,,Validate IAC creation,
Restructure questionnaire with sections,,Sanjay,in process,,,Organize into logical sections,
Add 'What we know' sheet.,,Team,Not Started,,,Capture assumptions,
Convert questions to validation format,,Sanjay,in process,,,Show prior understanding,
Finalize and share questionnaire,,Team,in process,,,Send to stakeholders,
Complete and clean network diagram,,Santhosh,Done,,,Remove assumptions,
Add missing components to diagram,,Santhosh,Done,,,"Include DBs, on-prem, flows",
Differentiate Classic vs VPC visually,,Santhosh,Done,,,Use color coding,
Include all regions in diagram,,Santhosh,Not Started,,,"Frankfurt, London, Sydney",
Validate diagram with stakeholders,,Sridhar,Not Started,,,Check with Balaji/IBM,
Follow up on pending inputs,,Sridhar,Not Started,,,Balaji & John,
Get required access (Slack etc.),,Team,done,,,Enable communication,
Resolve Viata access/setup delay,,Sridhar / Santhosh,in process,,,Coordinate with Santosh C,
Import & interpret firewall rules,,Santhosh,Not Started,,,Use Viata,
Prepare initial slide deck,,Raj,in process,,,10-15 slides,
Add migration examples to slides,,Raman / Raj,Not Started,,,Enhance storytelling,
Build environment inventory,,Team,Not Started,,,"Servers, VLANs, apps",
Map traffic flow,,Sanjay,in process,,,End-to-end architecture,
Validate region types (MZR/SZR),,Raj,Done,,,Check VPC feasibility,
Align team on priorities,,Team,Not Started,,,Demo vs long-term,
Escalate blockers when needed,,Sridhar,Not Started,,,Use escalation support,
Add Customer Question: we don't see DXN Vayatta configuration.,,,,,,,
Need a slides for 5 b section,,,,,,,
"5 b vii need a slide explaining the how and what configure 
we are going to use for the landing zone",,,,,,,
"Santhosh: make sure the picture has exactly same information 
as we have in asset inventory",,Santosh,DOne,,,,
Baremetal Virtualization setup ,,Parikshit,Done,,,Cretaed Baremetal with windows server 2022 with 2 VMs,
Setup environment qemu-image for qcow2 convert,,Parikshit,Done,,,converted VHDX to qcow2 using qemu-img ,
Automated the dicovery on VM image within hyperv using jump enviornmenmt ,,Parikshit,Done,,,"Disovered the VM inventory (Name , CPU, Memory , Drive space, VHDX path) and exported to csv ",
Inatalled the VMvare Esxi 6.7 on baremetal to simulate VMDK to qcow2 and automation,,Parikshit,Inprogress,,,installation done public IP configuratio is in progress,
windows simulation with RMM tool,,Parikshit,Inprogress,,,coordinating with Rackware team ,
capture the error and bugs of RMM and documentation ,,Parikshit,Inprogress,,,Prepared excel sheet and continue adding P,
Openshift cluster instalation and import qcow2 images,,Parikshit,Inprogress,,,preparing to deploye cluster,
"Windows host migration with new user having ""infobell"" name",,Parikshit,Done,27/4/2026,27/4/2026,able to login with infobell user but not with administrator. mail sent to rackware team,
